Reference,Qty,Value,DNP,Suma,Exclude from Board
"C1,C2,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31",24,0.10uF,0.14999999999999999,3.5999999999999996,
C3,1,10.0uF,0.22,0.22,
C4,1,100.0nF,,0,
"C5,C6,C8",3,22.0uF,0.31,0.92999999999999994,
C7,1,1uF_50V,0.25,0.25,
IC1,1,ESP32-S3-WROOM-1U-N16R8,24,24,
"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23",23,DG127A-5.08-06P-14-00AH,4.2000000000000002,96.600000000000009,
"K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50",50,G5Q-1A,,0,
L1,1,4.70uH,1.1399999999999999,1.1399999999999999,
"R1,R2,R3,R4,R5,R6,R7,R8,R9",9,10.0K,4.0000000000000001e-002,0.35999999999999999,
"U1,U2,U3,U4,U5,U6,U7,U8",8,MCP23017_SP,6.4699999999999998,51.759999999999998,
"U9,U11,U14,U17,U18,U19,U20,U25,U26,U29,U30,U33,U34,U37,U40",15,LTV-847,2.9500000000000002,44.25,
"U10,U12,U15,U16,U21,U22,U23,U24,U27,U28,U31,U32,U35,U36,U38",15,ITS716G,22.239999999999998,333.59999999999997,
U13,1,AP63203WU,3.23,3.23,
,,,,559.94000000000005
